runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,3,4,28,5,,,,,,,,,,,,,,,,,1,201.83358435425907,None,space,201.83358435425907,None,203.53356575313956,None,203.53356575313956,None,f,1,0.793830247130245,203.53356575313956,None,None,203.53356575313956,None,0.5801432570442557,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,3,5,29,5,,,,,,,,,,,,,,,,,0,204.35023570200428,None,None,204.35023570200428,None,206.05024526827037,None,206.05024526827037,None,f,1,0.39944388903677464,206.05024526827037,None,None,206.05024526827037,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,3,6,30,0,,,,,,,,,,,,,,,,,0,206.4669579663314,None,None,206.4669579663314,None,207.85019543441013,None,207.85019543441013,None,f,1,1.8465481791645288,207.85019543441013,None,None,207.85019543441013,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,3,7,31,4,,,,,,,,,,,,,,,,,0,209.71676967805251,None,space,209.71676967805251,None,211.25016986811534,None,211.25016986811534,None,f,1,1.1599258962087333,211.25016986811534,None,None,211.25016986811534,None,0.23517907783389091,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,0,32,6,,,,,,,,,,,,,,,,,0,212.43379856739193,None,None,212.43379856739193,None,214.00050256727263,None,214.00050256727263,None,j,1,0.6369185619987547,214.00050256727263,None,None,214.00050256727263,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,4,1,33,1,,,,,,,,,,,,,,,,,1,214.66701670223847,None,space,214.66701670223847,None,216.1835933541879,None,216.1835933541879,None,f,1,0.6545597687363625,216.1835933541879,None,None,216.1835933541879,None,0.5621033441275358,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,2,34,2,,,,,,,,,,,,,,,,,0,216.86692717904225,None,None,216.86692717904225,None,218.31707121012732,None,218.31707121012732,None,j,1,0.6883671600371599,218.31707121012732,None,None,218.31707121012732,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,3,35,3,,,,,,,,,,,,,,,,,0,219.03369099041447,None,None,219.03369099041447,None,220.50058239419013,None,220.50058239419013,None,f,0,0.6345513057895005,220.50058239419013,None,None,220.50058239419013,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,4,36,3,,,,,,,,,,,,,,,,,0,221.16683246707544,None,None,221.16683246707544,None,222.90049897227436,None,222.90049897227436,None,j,1,0.7765226578339934,222.90049897227436,None,None,222.90049897227436,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,5,37,6,,,,,,,,,,,,,,,,,0,223.70062388526276,None,None,223.70062388526276,None,225.4335001083091,None,225.4335001083091,None,j,1,0.4896079250611365,225.4335001083091,None,None,225.4335001083091,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,6,38,7,,,,,,,,,,,,,,,,,1,225.95043263118714,None,space,225.95043263118714,None,227.3004656052217,None,227.3004656052217,None,j,1,0.8607113240286708,227.3004656052217,None,None,227.3004656052217,None,0.552481978200376,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,7,39,7,,,,,,,,,,,,,,,,,0,228.1836995673366,None,None,228.1836995673366,None,229.83375051105395,None,229.83375051105395,None,j,1,0.6262242030352354,229.83375051105395,None,None,229.83375051105395,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,0,40,0,,,,,,,,,,,,,,,,,0,230.48381090722978,None,None,230.48381090722978,None,231.98382953600958,None,231.98382953600958,None,f,1,0.5636927890591323,231.98382953600958,None,None,231.98382953600958,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,1,41,3,,,,,,,,,,,,,,,,,1,232.5683966143988,None,space,232.5683966143988,None,234.2675901199691,None,234.2675901199691,None,j,1,0.7004575347527862,234.2675901199691,None,None,234.2675901199691,None,0.4802751000970602,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,2,42,5,,,,,,,,,,,,,,,,,0,234.9838669472374,None,None,234.9838669472374,None,236.38378829928115,None,236.38378829928115,None,j,0,0.8698037988506258,236.38378829928115,None,None,236.38378829928115,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,3,43,2,,,,,,,,,,,,,,,,,0,237.2838839092292,None,None,237.2838839092292,None,239.03378189634532,None,239.03378189634532,None,j,1,0.6595811587758362,239.03378189634532,None,None,239.03378189634532,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,4,44,2,,,,,,,,,,,,,,,,,0,239.717062685173,None,None,239.717062685173,None,241.2839601561427,None,241.2839601561427,None,j,1,0.6314503257162869,241.2839601561427,None,None,241.2839601561427,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,5,45,2,,,,,,,,,,,,,,,,,0,241.93403504416347,None,None,241.93403504416347,None,243.3339882902801,None,243.3339882902801,None,j,1,0.5671385279856622,243.3339882902801,None,None,243.3339882902801,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,6,46,0,,,,,,,,,,,,,,,,,0,243.93401915812865,None,None,243.93401915812865,None,245.60049646627158,None,245.60049646627158,None,f,1,0.7389830509200692,245.60049646627158,None,None,245.60049646627158,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,7,47,1,,,,,,,,,,,,,,,,,0,246.3671043892391,None,None,246.3671043892391,None,247.7504699230194,None,247.7504699230194,None,f,1,1.0347783891484141,247.7504699230194,None,None,247.7504699230194,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.80061092413962,None,,,,,,,,
