runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,fix_respP2_1.keys,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,32.39551329379901,None,j,1,1.0399557002820075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,0,None,0,None,1,54.49846173170954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,1,j,1,None,0,61.895534752868116,None,1.84727373579517,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,0,f,1,None,1,69.19557385472581,None,1.779560076072812,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,0,None,0,None,1,76.62852718308568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,1,None,0,None,0,84.09568435372785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,0,None,0,None,1,91.67930998280644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,j,1,None,1,111.66202094871551,None,1.0277806692756712,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,1,j,1,None,0,118.96216235682368,None,0.7050005411729217,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,0,f,1,None,1,126.4627255499363,None,0.6725095417350531,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,0,f,1,None,1,134.09620585571975,None,1.0139676588587463,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,1,j,1,None,0,141.79567157384008,None,0.673055307008326,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,0,j,1,None,1,149.06290094694123,None,0.83349575009197,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,2,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,0,j,1,None,1,162.51236647972837,None,1.5223228917457163,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,j,1,None,0,170.07959303678945,None,1.7574055921286345,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,0,f,1,None,1,177.37904946878552,None,1.0125809032469988,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
