runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,1,0,1,0,0,3,3,5,,,,,,,,,,,,1,f,1,0.8405704200267792,space,1,112.54796560201794,None,-0.4973641228862107,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,1,0,1,0,0,4,4,0,,,,,,,,,,,,1,f,1,2.013390851672739,space,1,120.16454197373241,None,1.6697817398235202,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,1,0,1,0,0,5,5,3,,,,,,,,,,,,0,j,1,1.002962263301015,None,1,127.63137700594962,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,141.51450735982507,None,None,1,141.51450735982507,None,142.96489259880036,None,142.96489259880036,None,f,1,1.2442901129834354,142.96489259880036,None,None,142.96489259880036,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,1,144.2312551829964,None,space,1,144.2312551829964,None,145.73130491096526,None,145.73130491096526,None,f,1,1.9414838128723204,145.73130491096526,None,None,145.73130491096526,None,1.27383822388947,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,147.6980616976507,None,None,1,147.6980616976507,None,149.08136707358062,None,149.08136707358062,None,j,1,0.9632942322641611,149.08136707358062,None,None,149.08136707358062,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,1,150.06478987867013,None,space,1,150.06478987867013,None,151.79829953378066,None,151.79829953378066,None,j,1,0.6731940070167184,151.79829953378066,None,None,151.79829953378066,None,0.5245243930257857,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,0,152.4980760528706,None,None,1,152.4980760528706,None,154.04831065097824,None,154.04831065097824,None,j,1,0.8494233479723334,154.04831065097824,None,None,154.04831065097824,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,0,154.91512414161116,None,None,1,154.91512414161116,None,156.46470730379224,None,156.46470730379224,None,j,1,0.6831896468065679,156.46470730379224,None,None,156.46470730379224,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,0,157.1646546749398,None,None,1,157.1646546749398,None,158.64803541172296,None,158.64803541172296,None,f,1,1.4102828069590032,158.64803541172296,None,None,158.64803541172296,None,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
